Najdfreee,ترامب
Culper_Lady56,obamagate
RED_IN_PA,deplatformtheplatform
moorkapink,deplatformtheplatform
WarenessA,canyoufactcheckthat
DavidAdrian_USA,deplatformtheplatform
Ifeellucky2,twitter
JjSiberian,deplatformtheplatform
randybrewer1955,deplatformtheplatform
RandomThawts4U,trump2020
doddrose,twittersucks globalist libtard
PearlProsound,pleasedeletethosetweets
tadams1234bg,twitterfactcheck
Jamiewuzhere,pleasedeletemika
RyanSonday,deplatformtheplatform
Tropicalbill1,openjoec
funnybone55,deplatformtheplatform
lachcs,pleasedeletethosetweets
rlevdacs,deplatformtheplatform
neergt,deplatformtheplatform
jyaryaniii,pleasedeletethosetweets
LisaWink07,pleasedeletethosetweets
AmyWMIGOPTeam,deplatformtheplatform
greenerygaz,deplatformtheplatform
BarfNader,deplatformtheplatform
NormaFo49575230,factcheck
Countrygg1,deplatformtheplatform
crazylove1971,twitterfactcheck
OkieNV,obamagate
angriestvoter,pleasedeletethosetweets
Nativeluvr,pleasedeletethosetweets
sethg_love,enemyofthepeople qarmyworldwide justiceiscoming
nomores25494044,banbishoptalbertswanfromtwitter
bordermaganews,twitterfactcheck
hordakz,deplatformtheplatform
dDonWeatherford,deplatformtheplatform
elianselmi,deplatformtheplatform
mbthornton,removetrumpfromtwitter
GraceMi06335404,twurdburglar
StefannSS,deplatformtheplatform
randygagner,carolyngombell
TaylorTuri,deplatformtheplatform
Angelemichelle,shadowban twitterpurge
joa_2020,wethepeople qanon censorship wwg1wga
Peter_Schafer1,deplatformtheplatform
MattStigen,twitterfactcheckisfake
LisaTxxoo,deplatformtheplatform
CharXRenee,deplatformtheplatform
Nickram19930227,deplatformtheplatform
artnetworx1,fact
bigegoinsc,hatespeech
REDSTOR24053210,deplatformtheplatform
startrekfan58,deplatformtheplatform
YohJudy,deplatformtheplatform
JenJ828,censorship
GerHilbrants,trump
PaulMonte18,deplatformtheplatform
SJSieloff,deplatformtheplatform
Anonymo33804588,deplatformtheplatform
RealPresDotard,carolyngombell
joanbeat2,pleasedeletethosetweets
LundbladNancy,deplatformtheplatform
tammanntam,takeitback
patsdunc,bantrumpfromtwitter
q_askthe,obamagate
ICEMANBADGER,youaintblack
realAlexIvanov,qwik
IAmtheManinthe1,stopthebiastwitter
SunMoonRising17,pleasedeletemika deletemindlessmika
cruisesandiego,obamagate
kibblesoffour,justiceforcarolyngombell
kirstenrourke,pleasedeletethosetweets
MrCraighead2012,taketrumpofftwitter
NormaFo49575230,factchecker
LAMorgan12,deplatformtheplatform
GabsSydney26,deplatformtheplatform
BobBrow80605623,deplatformtheplatform
leblancweb,pleasedeletethosetweets
hk_chiu,pleasedeletethosetweets
BeaverShelby,deplatformtheplatform
SurfCityJay,deplatformtheplatform
nolimetangere4,deepstate
AubreyCyb34r,deplatformtheplatform
marvlf,deplatformtheplatform
Yr52247858,eventwitter
humanekt,slugsforsalt
tammanntam,takeitback
PhilipWallace64,carolyngombell
Harpo90462851,deplatformtheplatform
jcraigmedlin,deepstate
KarenKe15129224,deplatformtheplatform
