Najdfreee,ترامب
GabsSydney26,DeplatformThePlatform
hk_chiu,Pleasedeletethosetweets
BobBrow80605623,DeplatformThePlatform
leblancweb,Pleasedeletethosetweets
BeaverShelby,DeplatformThePlatform
SurfCityJay,DeplatformThePlatform
nolimetangere4,DeepState
AubreyCyb34r,DeplatformThePlatform
Yr52247858,eventwitter
marvlf,DeplatformThePlatform
tammanntam,TakeitBack
humanekt,SlugsForSalt
PhilipWallace64,CarolynGombell
Harpo90462851,DeplatformThePlatform
jcraigmedlin,DeepState
KarenKe15129224,DeplatformThePlatform
Caroline0ne,Trump
IAmDeplorable70,DeplatformThePlatform
JpWeezy0341,DeplatformThePlatform
juliew38138,DeplatformThePlatform
pearlabeads,BanTrumpFromTwitter
Jenniferlayne53,SuspendTrumpsTwitter
RedhotAwareness,FAKE
Unaffraid1,ObamaGate
busterrager1,DeplatformThePlatform
Spectrum2Angels,Congress
kpjc57,TwitterFactCheckIsFake
BuckheadTrumper,DeplatformThePlatform
jackdorseymaga,Qanon obamagate
MMP67961234,Pleasedeletethosetweets
IvarTangen,Liar GetTheFacts
annier100,DeplatformThePlatform
RoscoeTheRev,ObamaGate
madmilker,Bitch
BeChangeToday,Twitter
CrazeProduction,Pleasedeletethosetweets
diane_kirschner,DeplatformThePlatform
ScottEOliverio,DeplatformThePlatform
marvalicious5,DeplatformThePlatform
IvarTangen,Liar GetTheFacts
TwittaT10,TwitterFactCheck
WhoZulu,CarolynGombell
bobp_kag1,DeplatformThePlatform
eileen_oquendo,CarnivalBarkingClown
DBLAND96023189,FactCheck
davism902,Pleasedeletethosetweets
jackdorseymaga,ObamaGate QArmyWorldwide
ponytail122,BanTrumpFromTwitter
Pamela09479370,Pleasedeletethosetweets
CarolMariani1,DeplatformThePlatform
RonHall46,TaketRumpOffTwitter
DeepStateFair,HadEnough
vickiwiltshire,DeplatformThePlatform
TotesMagotes9,MarkZuckerberg
1969bird,TwitterFactCheck
mwtankard,ObamaGate
I_Luv_Thinkers,BanTrumpFromTwitter
belindawooley,DeplatformThePlatform
sharonflink,BanTrumpFromTwitter
Linda73267216,DeplatformThePlatform
KellyJShiver,Democrat
MrCraighead2012,BoycottTwitterAdvertisers
wdamidoinhere,WuhanCoronaVirus ChinaLiedPeopleDied
JimmyMatthewsJr,25theAmendmentNow TrumpMeltdown
TinkerbellG65,Pleasedeletethosetweets
thetribesports,DerekChauvin
JoniePEI,DeplatformThePlatform
liftdupbyangels,FactCheckers
janesherd,President
Jeaneamour,Obamagate MailinBallotFraud TweeterSucks
simon_r_katz,TaketRumpOffTwitter
