retweeter,retweeted,retweet_time,retweeter_age,retweeted_age
m_azita,morningmika,10147,80349,51301
running2fit,Cindy525469,47244,76483,31255
cofveve61,Liz_Wheeler,48998,45192,22683
terrycoffey2555,morningmika,9841,49118,51606
LauraByTheSea58,almostjingo,751,83014,8945
MatesiMichele,PvtSteamingPyle,44335,74377,32025
Dist_5,Joy_OdeTo,3258,58376,52004
Patrici41588212,dbongino,60332,71961,18148
JakSuspendedX19,cliffy1999,38589,61897,13641
fibolin,STOPTHiS,9364,25285,52696
SwedeMauser,Atlantiso1,273,72035,79035
Wakeuppeeps123,almostjingo,754,66973,8945
MikeDal23048886,cvpayne,50937,55465,32849
Markcom1,morningmika,10154,85911,51301
DarkStream6,Liz_Wheeler,49002,49255,22683
suzyq0517,morningmika,10154,72707,51301
JaqHolland,morningmika,10155,52341,51301
running2fit,MarieSzykowny,46959,76489,12798
TellTheTruth1,DonaldJTrumpJr,13999,31996,51975
MeaghanHBurns,morningmika,10155,84522,51301
mikeybrownston1,RomaGAntonia1,2276,60328,7322
bullgator2012,DonaldJTrumpJr,13999,78808,51975
HodgsonSilas,EricTrump,10967,66223,53571
DniseSonnenberg,morningmika,9412,50051,52045
TheArtman14,BlackIrishI,16450,69202,64844
poison4u2get,RonJCohen2,745,25615,60493
PeaceAndLove_US,davidmweissman,11632,83900,86063
Oreobug08,morningmika,10157,77006,51301
ghewittofa,morningmika,9414,72012,52045
LindaJo17,morningmika,10158,69751,51301
running2fit,jcarloscenteno,45601,76492,42818
vishalsethSP,SinghIsSPKing,7134,45136,33804
EricRee53251019,SebGorka,3720,50047,83099
jimm122,EliseStefanik,59219,75606,29674
JEmilio08267843,laylapaty1,61481,3161,79942
SeanNewboy,morningmika,9855,58594,51606
onecharliefive,sistronk,41,85412,83181
symch741,morningmika,10160,4262,51301
ErnestFannin,EricTrump,10972,4093,53571
kim_bland,WilliamShatner,77444,60819,46957
star95011,SebGorka,212,39287,210
tommygee43,EricTrump,10972,44758,53571
fibolin,STOPTHiS,9438,25293,52630
WyKodie,EricTrump,10972,57377,53571
